n_neighbors,weights,metric,recall,accuracy,precision,f1,train_time,pred_time
51,distance,euclidean,0.996,0.9517857142857141,0.942857142857143,0.9659595959595958,0.0005881881713867187,0.006494755744934082
60,distance,euclidean,0.996,0.9517857142857141,0.942857142857143,0.9659595959595958,0.0006166458129882813,0.00661186695098877
58,distance,manhattan,0.996,0.9517857142857141,0.942857142857143,0.9659595959595958,0.000596466064453125,0.006364226341247559
60,uniform,euclidean,0.996,0.9492857142857142,0.9398095238095239,0.9644848484848484,0.0006351900100708007,0.007439174652099609
67,distance,euclidean,0.996,0.9492857142857142,0.9388571428571431,0.964181818181818,0.0005907011032104492,0.006402754783630371
69,distance,euclidean,0.996,0.9492857142857142,0.9388571428571431,0.964181818181818,0.0006116628646850586,0.00673677921295166
61,uniform,euclidean,0.996,0.9467857142857141,0.9364761904761906,0.9626666666666666,0.0005553483963012696,0.006235427856445312
76,distance,euclidean,0.996,0.9442857142857142,0.9321904761904762,0.9605454545454544,0.0005816411972045898,0.0062364149093627926
71,uniform,euclidean,0.996,0.9342857142857142,0.9198095238095239,0.9535757575757574,0.0006085300445556641,0.0072258424758911135
103,distance,euclidean,0.996,0.9292857142857142,0.9131428571428571,0.9499393939393938,0.000536971092224121,0.00568178653717041
100,distance,euclidean,0.996,0.9292857142857142,0.9131428571428571,0.9499393939393938,0.0005303192138671875,0.005651149749755859
99,distance,euclidean,0.996,0.9292857142857142,0.9131428571428571,0.9499393939393938,0.0006129980087280273,0.006890668869018555
103,distance,euclidean,0.996,0.9292857142857142,0.9131428571428571,0.9499393939393938,0.0005869579315185547,0.006390852928161621
94,distance,euclidean,0.996,0.9292857142857142,0.9131428571428571,0.9499393939393938,0.0006220197677612305,0.006480612754821777
100,distance,euclidean,0.996,0.9292857142857142,0.9131428571428571,0.9499393939393938,0.0006087017059326172,0.006574721336364746
101,distance,euclidean,0.996,0.9292857142857142,0.9131428571428571,0.9499393939393938,0.0005994510650634766,0.006520581245422363
99,distance,euclidean,0.996,0.9292857142857142,0.9131428571428571,0.9499393939393938,0.0006053924560546875,0.006547417640686035
92,distance,euclidean,0.996,0.9292857142857142,0.9131428571428571,0.9499393939393938,0.0005537319183349609,0.006032843589782715
92,uniform,manhattan,0.996,0.9267857142857142,0.9104761904761907,0.9480808080808081,0.0006143522262573243,0.006452236175537109
114,distance,euclidean,0.996,0.9267857142857142,0.9098095238095238,0.948121212121212,0.0006271934509277343,0.0071241331100463864
101,uniform,euclidean,0.996,0.9242857142857142,0.9064761904761905,0.9463030303030302,0.0005733537673950196,0.006846323013305664
113,distance,euclidean,0.996,0.9239285714285714,0.9074285714285715,0.9466060606060606,0.0005761146545410156,0.006147594451904297
115,distance,euclidean,0.996,0.9239285714285714,0.9074285714285715,0.9466060606060606,0.0006450033187866211,0.006998243331909179
99,uniform,euclidean,0.996,0.9217857142857142,0.9031428571428571,0.9444848484848484,0.0006118965148925781,0.00724452018737793
99,uniform,euclidean,0.996,0.9217857142857142,0.9031428571428571,0.9444848484848484,0.0006028318405151367,0.007213211059570313
116,distance,euclidean,0.996,0.9214285714285714,0.9040952380952382,0.9447878787878788,0.0006052827835083007,0.0066844367980957034
117,distance,euclidean,0.996,0.9214285714285714,0.9040952380952382,0.9447878787878788,0.0005695581436157227,0.006304631233215332
104,uniform,euclidean,0.996,0.9192857142857142,0.8998095238095238,0.9426666666666665,0.0005650424957275391,0.006856265068054199
146,distance,euclidean,0.996,0.9114285714285714,0.8917142857142858,0.937818181818182,0.0005513525009155273,0.0061917734146118165
146,distance,euclidean,0.996,0.9114285714285714,0.8917142857142858,0.937818181818182,0.000604095458984375,0.006465611457824707
3,uniform,euclidean,0.992,0.969642857142857,0.9660000000000001,0.9774141414141414,0.0005947446823120117,0.00698068618774414
21,distance,manhattan,0.992,0.9617857142857141,0.9566666666666669,0.971919191919192,0.0006196022033691407,0.006270899772644043
35,uniform,manhattan,0.992,0.9567857142857141,0.951904761904762,0.9688888888888889,0.0006692361831665039,0.0069352293014526365
45,distance,manhattan,0.992,0.9567857142857141,0.951904761904762,0.9688888888888889,0.0005737733840942383,0.006255402565002442
39,distance,manhattan,0.992,0.9567857142857141,0.951904761904762,0.9688888888888889,0.0005828666687011718,0.006102213859558106
29,uniform,euclidean,0.992,0.9567857142857141,0.951904761904762,0.9688888888888889,0.0006288385391235351,0.007247982025146485
